Name,SMILES,BA_APO_C1,BA_APO_C2,BA_APO_C3,BA_APO_C4,BA_APO_C5,BA_ATP_C1,Common,Predicted_Mtb_perm,Cytotoxicity HaCat cell line,Cytotoxicity NIH 3T3 cell line,Cytotoxicity HEK 293 cell line,Cytotoxicity HepG2 cell line,Cytotoxicity CRL-7250 cell line,qed_score,sc_score,LogP
curia5981,Cc1cccc2nc(cn12)C(=O)N1CCC(CC1)C1N(CC21CCC2)c1ccccc1,-8.504,,-7.231,-6.716,-8.909,,common_04,1,"('Inactive', '0.86', '0.37')","('Inactive', '0.93', '0.38')","('Inactive', '0.91', '0.37')","('N', '0.82', '0.25')","('Inactive', '0.85', '0.40')",0.6311371853,4.338512077,4.55402
curia4801,CCc1nc(NC(=O)CN2CC(C2)n2c(C)cnc2c2ccccc2)ccc1,-8.487,-7.652,,,-7.686,-8.385,common_04,1,"('Inactive', '0.82', '0.29')","('Inactive', '0.89', '0.40')","('Inactive', '0.80', '0.26')","('N', '0.81', '0.23')","('Inactive', '0.78', '0.23')",0.7179472059,4.878343851,3.31132
curia8712,O=C(N1CC(C1)N1CCN(C1=O)c1ccccc1)c1cccnn1,-8.474,-8.251,,,-7.906,-8.631,common_04,1,"('Inactive', '0.86', '0.37')","('Inactive', '0.88', '0.32')","('Inactive', '0.88', '0.45')","('N', '0.80', '0.23')","('Inactive', '0.88', '0.51')",0.8521142302,4.05707675,1.2432
curia4356,Clc1cc(OCC(=O)N2CCN(c3ccccn3)c3ccccc3C2)ccc1,-8.455,,-7.298,-6.674,-8.383,,common_04,1,"('Inactive', '0.84', '0.30')","('Inactive', '0.88', '0.31')","('Inactive', '0.83', '0.30')","('N', '0.88', '0.34')","('Inactive', '0.83', '0.27')",0.662795329,4.02907919,4.2943
curia7347,Fc1c(cccc1)S(=O)(=O)N1CCCC(C1)c1noc2ccccc12,-8.422,-7.432,,-7.227,,-8.389,common_04,1,"('Inactive', '0.87', '0.34')","('Inactive', '0.86', '0.24')","('Inactive', '0.79', '0.25')","('N', '0.84', '0.28')","('Inactive', '0.86', '0.32')",0.7166893895,3.886289838,3.5352
curia6895,O=C(Cn1ccc2c1ncnc2N1CCOCC1)Nc1ncccc1,-8.421,,-7.723,-7.865,-7.879,,common_04,1,"('Inactive', '0.96', '0.44')","('Inactive', '0.98', '0.61')","('Inactive', '0.96', '0.49')","('N', '0.85', '0.28')","('Inactive', '0.93', '0.42')",0.7717677249,3.878835587,1.3016
curia2051,CC(=O)N1CCC2=NN(C3CCN(Cc4nc5ccccc5cc4)CC3)C(=O)C2C1,-8.414,-8.082,-7.373,,,-8.887,common_04,1,"('Inactive', '0.87', '0.41')","('Inactive', '0.81', '0.21')","('Inactive', '0.87', '0.34')","('N', '0.82', '0.25')","('Inactive', '0.87', '0.46')",0.7856046658,4.717290373,2.2658
curia8699,Cc1nc2c([nH]1)ccc(c2)C(=O)N1CCC2(CC2COc2nc(C)ccc2)CC1,-8.388,,-7.461,,-8.018,-8.304,common_04,1,"('Inactive', '0.83', '0.29')","('Inactive', '0.92', '0.37')","('Inactive', '0.97', '0.52')","('N', '0.82', '0.24')","('Inactive', '0.85', '0.30')",0.7334889614,4.735812387,3.89604
curia2016,Clc1ccc(cc1)N1CCN(CC1)C(=O)[C@H]1CCC[C@@H]1n1c(=O)[nH]c2ccccc12,-8.383,-8.438,,-7.161,,-8.709,common_04,1,"('Inactive', '0.92', '0.57')","('Inactive', '0.89', '0.40')","('Inactive', '0.77', '0.27')","('N', '0.86', '0.29')","('Inactive', '0.78', '0.23')",0.6973412725,4.270881153,3.673
curia2424,Cc1ccc(c(C)c1)S(=O)(=O)N1CCC2(CN(C(=O)O2)c2cc(ccc2)C#N)CC1,-10.004,-7.975,-7.785,,-7.641,-8.853,common_05,1,"('Inactive', '0.85', '0.31')","('Inactive', '0.85', '0.26')","('Inactive', '0.78', '0.28')","('N', '0.81', '0.23')","('Inactive', '0.77', '0.23')",0.7521138789,4.256206936,3.35522
