Name,Affinity
dds5_enamine33469,-6.545
ab_enamine10422,-7.771
dds5_enamine45455,-7.21
ab_enamine9827,-5.812
ab_enamine23053,-7.589
dds5_enamine33527,-6.208
psl_enamine2501,-8.469
dds5_enamine38431,-8.553
hinge_enamine12775,-8.647
dds5_enamine5351,-7.488
dds1_enamine4023,-8.548
hinge_enamine22564,-7.317
ab_enamine27804,-7.81
dds1_enamine967,-7.403
dds1_enamine9550,-7.667
dds5_enamine6613,-7.546
ab_enamine27532,-8.787
dds5_enamine44945,-8.271
dds5_enamine21600,-6.279
ab_enamine26099,-7.146
ab_enamine26088,-7.496
dds5_enamine3247,-7.82
ab_enamine19258,-7.914
ab_enamine21699,-8.381
ab_enamine16487,-7.886
dds1_enamine1981,-7.441
dds5_enamine6257,-5.896
dds5_enamine21734,-7.86
dds5_enamine41767,-7.358
dds5_enamine20195,-7.643
ab_enamine21275,-7.702
dds5_enamine9757,-6.944
dds5_enamine39690,-7.804
hinge_enamine1040,-8.421
hinge_enamine400,-7.762
dds5_enamine9846,-7.027
hinge_enamine6138,-7.9
dds5_enamine36433,-7.334
hinge_enamine1405,-8.8
dds5_enamine39228,-7.735
dds5_enamine38614,-9.167
hinge_enamine2032,-7.176
hinge_enamine5885,-7.855
hinge_enamine3382,-7.07
dds5_enamine47018,-6.565
dds5_enamine26232,-7.438
dds5_enamine45094,-9.029
ab_enamine16555,-7.725
ab_enamine17445,-6.616
dds5_enamine41585,-7.529
hinge_enamine2072,-7.376
ab_enamine18236,-6.967
ab_enamine6186,-6.171
ab_enamine26820,-8.482
dds5_enamine32901,-8.233
ab_enamine11816,-8.1
hinge_enamine15873,-9.528
dds5_enamine3808,-7.047
psl_enamine3645,-6.696
hinge_enamine6042,-7.149
hinge_enamine20203,-7.806
dds5_enamine49218,-6.214
dds1_enamine352,-8.079
dds1_enamine5947,-7.624
dds5_enamine26416,-8.473
hinge_enamine1196,-7.73
dds1_enamine10152,-7.464
ab_enamine14426,-7.503
dds1_enamine5161,-6.864
dds5_enamine31998,-7.083
ab_enamine23387,-6.608
CHEMBL3660794,-7.248
dds1_enamine1921,-6.869
dds5_enamine2212,-6.679
hinge_enamine9728,-7.407
psl_enamine3577,-7.31
ab_enamine25354,-7.247
dds5_enamine10149,-7.741
dds5_enamine23332,-7.44
